Document Number,Date Created,D2
INV07060,6/20/2024 03:24,2024-06-20T03:24:00.000Z
INV06896,6/20/2024 03:24,2024-06-20T03:24:00.000Z
INV06887,6/20/2024 03:24,2024-06-20T03:24:00.000Z
INV07222,6/20/2024 03:26,2024-06-20T03:26:00.000Z
INV08355,6/20/2024 03:24,2024-06-20T03:24:00.000Z
INV08644,6/20/2024 03:24,2024-06-20T03:24:00.000Z
INV12074,6/20/2024 03:24,2024-06-20T03:24:00.000Z
INV12992,6/20/2024 03:16,2024-06-20T03:16:00.000Z
INV12013,6/20/2024 03:24,2024-06-20T03:24:00.000Z
INV13845,6/20/2024 03:24,2024-06-20T03:24:00.000Z
INV14102,6/20/2024 03:22,2024-06-20T03:22:00.000Z
INV14127,6/20/2024 03:24,2024-06-20T03:24:00.000Z
INV14966,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV15580,6/20/2024 03:24,2024-06-20T03:24:00.000Z
INV15579,6/20/2024 03:22,2024-06-20T03:22:00.000Z
INV15581,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV15797,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV15800,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV16001,6/20/2024 03:24,2024-06-20T03:24:00.000Z
INV19393,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV22552,6/20/2024 03:24,2024-06-20T03:24:00.000Z
INV24385,6/20/2024 03:24,2024-06-20T03:24:00.000Z
INV28390,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV28643,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV30178,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV41552,6/20/2024 03:23,2024-06-20T03:23:00.000Z
INV37148,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV37400,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV37415,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV38094,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV38146,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV38546,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV38821,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV39142,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV39419,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV39814,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV40080,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV40086,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV40345,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV41068,6/20/2024 03:19,2024-06-20T03:19:00.000Z
INV41352,6/20/2024 03:20,2024-06-20T03:20:00.000Z
INV41468,6/20/2024 03:20,2024-06-20T03:20:00.000Z
INV41483,6/20/2024 03:20,2024-06-20T03:20:00.000Z
INV41545,6/20/2024 03:18,2024-06-20T03:18:00.000Z
INV41719,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV41753,6/20/2024 03:20,2024-06-20T03:20:00.000Z
INV41784,6/20/2024 03:20,2024-06-20T03:20:00.000Z
INV41846,6/20/2024 03:18,2024-06-20T03:18:00.000Z
INV42018,6/20/2024 03:20,2024-06-20T03:20:00.000Z
INV42345,6/20/2024 03:20,2024-06-20T03:20:00.000Z
INV42611,6/20/2024 03:20,2024-06-20T03:20:00.000Z
INV42652,6/20/2024 03:20,2024-06-20T03:20:00.000Z
INV42906,6/20/2024 03:20,2024-06-20T03:20:00.000Z
INV43027,6/20/2024 03:20,2024-06-20T03:20:00.000Z
INV43053,6/20/2024 03:18,2024-06-20T03:18:00.000Z
INV43132,6/20/2024 03:20,2024-06-20T03:20:00.000Z
INV43382,6/20/2024 03:20,2024-06-20T03:20:00.000Z
INV43632,6/20/2024 03:21,2024-06-20T03:21:00.000Z
INV43742,6/20/2024 03:21,2024-06-20T03:21:00.000Z
INV43986,6/20/2024 03:21,2024-06-20T03:21:00.000Z
INV44138,6/20/2024 03:21,2024-06-20T03:21:00.000Z
INV44247,6/20/2024 03:21,2024-06-20T03:21:00.000Z
INV44420,6/20/2024 03:21,2024-06-20T03:21:00.000Z
INV44698,6/20/2024 03:21,2024-06-20T03:21:00.000Z
INV44859,6/20/2024 03:21,2024-06-20T03:21:00.000Z
INV44969,6/20/2024 03:18,2024-06-20T03:18:00.000Z
INV45130,6/20/2024 03:21,2024-06-20T03:21:00.000Z
INV45210,6/20/2024 03:21,2024-06-20T03:21:00.000Z
INV45274,6/20/2024 03:21,2024-06-20T03:21:00.000Z
INV45749,6/20/2024 03:21,2024-06-20T03:21:00.000Z
INV45820,6/20/2024 03:21,2024-06-20T03:21:00.000Z
INV45999,6/20/2024 03:22,2024-06-20T03:22:00.000Z
INV46034,6/20/2024 03:18,2024-06-20T03:18:00.000Z
INV46100,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV46225,6/20/2024 03:22,2024-06-20T03:22:00.000Z
INV46263,6/20/2024 03:22,2024-06-20T03:22:00.000Z
INV46492,6/20/2024 03:22,2024-06-20T03:22:00.000Z
INV46618,6/20/2024 03:22,2024-06-20T03:22:00.000Z
INV46965,6/20/2024 03:23,2024-06-20T03:23:00.000Z
INV46977,6/20/2024 03:18,2024-06-20T03:18:00.000Z
INV47151,6/20/2024 03:22,2024-06-20T03:22:00.000Z
INV47270,6/20/2024 03:23,2024-06-20T03:23:00.000Z
INV47279,6/20/2024 03:22,2024-06-20T03:22:00.000Z
INV47545,6/20/2024 03:22,2024-06-20T03:22:00.000Z
INV48953,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV48366,6/20/2024 03:22,2024-06-20T03:22:00.000Z
INV52541,6/20/2024 03:18,2024-06-20T03:18:00.000Z
INV52736,6/20/2024 03:16,2024-06-20T03:16:00.000Z
INV52885,6/20/2024 03:18,2024-06-20T03:18:00.000Z
INV53814,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV55259,6/20/2024 03:17,2024-06-20T03:17:00.000Z
INV55394,6/20/2024 03:17,2024-06-20T03:17:00.000Z
INV56998,6/20/2024 03:18,2024-06-20T03:18:00.000Z
INV57360,6/20/2024 03:17,2024-06-20T03:17:00.000Z
INV57508,6/20/2024 03:26,2024-06-20T03:26:00.000Z
INV57585,6/20/2024 03:17,2024-06-20T03:17:00.000Z
INV57648,6/20/2024 03:23,2024-06-20T03:23:00.000Z
INV57796,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV58067,6/20/2024 03:26,2024-06-20T03:26:00.000Z
INV58219,6/20/2024 03:22,2024-06-20T03:22:00.000Z
INV58514,6/20/2024 03:23,2024-06-20T03:23:00.000Z
INV58712,6/20/2024 03:23,2024-06-20T03:23:00.000Z
INV59154,6/20/2024 03:18,2024-06-20T03:18:00.000Z
INV59562,6/20/2024 03:26,2024-06-20T03:26:00.000Z
INV59304,6/20/2024 03:23,2024-06-20T03:23:00.000Z
INV59683,6/20/2024 03:22,2024-06-20T03:22:00.000Z
INV59749,6/20/2024 03:23,2024-06-20T03:23:00.000Z
INV59806,6/20/2024 03:25,2024-06-20T03:25:00.000Z
INV60406,6/20/2024 03:23,2024-06-20T03:23:00.000Z
INV60476,6/20/2024 03:18,2024-06-20T03:18:00.000Z
INV60855,6/20/2024 03:23,2024-06-20T03:23:00.000Z
INV61085,6/20/2024 03:23,2024-06-20T03:23:00.000Z
INV61098,6/20/2024 03:23,2024-06-20T03:23:00.000Z
INV61609,6/20/2024 03:23,2024-06-20T03:23:00.000Z
INV61775,6/18/2024 12:13,2024-06-18T12:13:00.000Z
INV61896,6/18/2024 12:44,2024-06-18T12:44:00.000Z
INV61912,6/18/2024 12:35,2024-06-18T12:35:00.000Z
INV61913,6/18/2024 12:38,2024-06-18T12:38:00.000Z
INV61915,6/18/2024 12:26,2024-06-18T12:26:00.000Z
INV61929,6/18/2024 12:36,2024-06-18T12:36:00.000Z
INV62020,6/18/2024 12:45,2024-06-18T12:45:00.000Z
INV62079,6/18/2024 12:36,2024-06-18T12:36:00.000Z
INV62080,6/18/2024 12:36,2024-06-18T12:36:00.000Z
INV62183,6/18/2024 12:36,2024-06-18T12:36:00.000Z
INV62233,6/18/2024 12:38,2024-06-18T12:38:00.000Z
INV62234,6/18/2024 12:25,2024-06-18T12:25:00.000Z
INV62235,6/18/2024 12:26,2024-06-18T12:26:00.000Z
INV62289,6/18/2024 12:38,2024-06-18T12:38:00.000Z
INV62348,6/18/2024 12:35,2024-06-18T12:35:00.000Z
INV62363,6/18/2024 12:36,2024-06-18T12:36:00.000Z
INV62376,6/18/2024 12:37,2024-06-18T12:37:00.000Z
INV63779,6/18/2024 12:35,2024-06-18T12:35:00.000Z
INV62461,6/18/2024 12:34,2024-06-18T12:34:00.000Z
INV62467,6/18/2024 12:28,2024-06-18T12:28:00.000Z
INV62508,6/18/2024 12:29,2024-06-18T12:29:00.000Z
INV62511,6/18/2024 12:28,2024-06-18T12:28:00.000Z
INV62537,6/18/2024 12:42,2024-06-18T12:42:00.000Z
INV62605,6/18/2024 12:29,2024-06-18T12:29:00.000Z
INV62711,6/18/2024 12:47,2024-06-18T12:47:00.000Z
INV62733,6/18/2024 12:41,2024-06-18T12:41:00.000Z
INV62781,6/18/2024 12:43,2024-06-18T12:43:00.000Z
INV62811,6/18/2024 12:45,2024-06-18T12:45:00.000Z
INV62813,6/18/2024 12:29,2024-06-18T12:29:00.000Z
INV62814,6/18/2024 12:29,2024-06-18T12:29:00.000Z
INV69432,6/18/2024 13:21,2024-06-18T13:21:00.000Z
INV62821,6/18/2024 12:46,2024-06-18T12:46:00.000Z
INV62910,6/18/2024 12:29,2024-06-18T12:29:00.000Z
INV62912,6/18/2024 12:29,2024-06-18T12:29:00.000Z
INV63174,6/18/2024 12:39,2024-06-18T12:39:00.000Z
INV63175,6/18/2024 12:39,2024-06-18T12:39:00.000Z
INV63176,6/18/2024 12:39,2024-06-18T12:39:00.000Z
INV63177,6/18/2024 12:40,2024-06-18T12:40:00.000Z
INV63178,6/18/2024 12:40,2024-06-18T12:40:00.000Z
INV63179,6/18/2024 12:40,2024-06-18T12:40:00.000Z
INV63263,6/18/2024 12:47,2024-06-18T12:47:00.000Z
INV63346,6/18/2024 12:39,2024-06-18T12:39:00.000Z
INV63348,6/18/2024 12:40,2024-06-18T12:40:00.000Z
INV63349,6/18/2024 12:40,2024-06-18T12:40:00.000Z
INV63377,6/18/2024 12:47,2024-06-18T12:47:00.000Z
INV63466,6/18/2024 13:12,2024-06-18T13:12:00.000Z
INV63469,6/18/2024 12:24,2024-06-18T12:24:00.000Z
INV63472,6/18/2024 11:50,2024-06-18T11:50:00.000Z
INV63534,6/18/2024 12:16,2024-06-18T12:16:00.000Z
INV63535,6/18/2024 12:16,2024-06-18T12:16:00.000Z
INV63629,6/18/2024 12:24,2024-06-18T12:24:00.000Z
INV63693,6/18/2024 12:29,2024-06-18T12:29:00.000Z
INV63719,6/18/2024 13:12,2024-06-18T13:12:00.000Z
INV63824,6/18/2024 12:51,2024-06-18T12:51:00.000Z
INV63908,6/18/2024 12:26,2024-06-18T12:26:00.000Z
INV63912,6/18/2024 12:24,2024-06-18T12:24:00.000Z
INV63959,6/18/2024 12:50,2024-06-18T12:50:00.000Z
INV63986,6/18/2024 12:19,2024-06-18T12:19:00.000Z
INV64048,6/18/2024 12:48,2024-06-18T12:48:00.000Z
INV64058,6/18/2024 12:50,2024-06-18T12:50:00.000Z
INV64129,6/18/2024 12:38,2024-06-18T12:38:00.000Z
